;Date;Precipitation;;2020 (Corr);1995;2050
1;01/01/2020;0.12;;0.00;0.00;0.00
2;02/01/2020;0.00;;0.00;0.00;0.00
3;03/01/2020;0.00;;0.00;0.00;0.00
4;04/01/2020;0.04;;0.00;0.00;0.00
5;05/01/2020;0.65;;0.65;0.65;0.00
6;06/01/2020;1.59;;1.59;1.59;0.00
7;07/01/2020;3.75;;3.75;3.75;0.00
8;08/01/2020;2.35;;2.35;2.35;0.00
9;09/01/2020;1.15;;1.15;1.15;0.00
10;10/01/2020;6.64;;6.64;6.64;7.97
11;11/01/2020;6.15;;6.15;6.15;7.38
12;12/01/2020;5.87;;5.87;5.87;7.04
13;13/01/2020;6.05;;6.05;6.05;7.26
14;14/01/2020;3.15;;3.15;3.15;0.00
15;15/01/2020;4.74;;4.74;4.74;0.00
16;16/01/2020;8.45;;8.45;8.45;10.15
17;17/01/2020;4.84;;4.84;4.84;0.00
18;18/01/2020;8.61;;8.61;8.61;10.33
19;19/01/2020;11.39;;11.39;11.39;13.67
20;20/01/2020;1.45;;1.45;1.45;0.00
21;21/01/2020;14.89;;14.89;14.89;17.87
22;22/01/2020;14.89;;14.89;14.89;17.87
23;23/01/2020;7.90;;7.90;7.90;9.48
24;24/01/2020;5.61;;5.61;5.61;6.73
25;25/01/2020;17.42;;17.42;17.42;20.90
26;26/01/2020;13.30;;13.30;13.30;15.96
27;27/01/2020;7.03;;7.03;7.03;8.43
28;28/01/2020;2.67;;2.67;2.67;0.00
29;29/01/2020;2.72;;2.72;2.72;0.00
30;30/01/2020;0.71;;0.71;0.71;0.00
31;31/01/2020;15.40;;15.40;15.40;18.48
32;01/02/2020;11.86;;11.86;11.86;14.24
33;02/02/2020;6.94;;6.94;6.94;8.33
34;03/02/2020;3.27;;3.27;3.27;0.00
35;04/02/2020;0.48;;0.00;0.00;0.00
36;05/02/2020;0.64;;0.64;0.64;0.00
37;06/02/2020;0.76;;0.76;0.76;0.00
38;07/02/2020;0.11;;0.00;0.00;0.00
39;08/02/2020;0.00;;0.00;0.00;0.00
40;09/02/2020;0.00;;0.00;0.00;0.00
41;10/02/2020;0.10;;0.00;0.00;0.00
42;11/02/2020;0.16;;0.00;0.00;0.00
43;12/02/2020;3.96;;3.96;3.96;0.00
44;13/02/2020;5.35;;5.35;5.35;6.41
45;14/02/2020;2.77;;2.77;2.77;0.00
46;15/02/2020;0.84;;0.84;0.84;0.00
47;16/02/2020;0.09;;0.00;0.00;0.00
48;17/02/2020;0.07;;0.00;0.00;0.00
49;18/02/2020;0.20;;0.00;0.00;0.00
50;19/02/2020;0.07;;0.00;0.00;0.00
51;20/02/2020;0.24;;0.00;0.00;0.00
52;21/02/2020;0.13;;0.00;0.00;0.00
53;22/02/2020;0.17;;0.00;0.00;0.00
54;23/02/2020;0.41;;0.00;0.00;0.00
55;24/02/2020;0.49;;0.00;0.00;0.00
56;25/02/2020;23.82;;23.82;23.82;28.59
57;26/02/2020;21.01;;21.01;21.01;25.21
58;27/02/2020;11.03;;11.03;11.03;13.24
59;28/02/2020;8.22;;8.22;8.22;9.87
60;29/02/2020;8.86;;8.86;8.86;10.63
61;01/03/2020;23.80;;23.80;23.80;28.56
62;02/03/2020;21.47;;21.47;21.47;25.76
63;03/03/2020;12.39;;12.39;12.39;14.87
64;04/03/2020;20.23;;20.23;20.23;24.28
65;05/03/2020;4.20;;4.20;4.20;0.00
66;06/03/2020;12.98;;12.98;12.98;15.58
67;07/03/2020;5.31;;5.31;5.31;6.37
68;08/03/2020;4.65;;4.65;4.65;0.00
69;09/03/2020;12.26;;12.26;12.26;14.71
70;10/03/2020;10.08;;10.08;10.08;12.09
71;11/03/2020;7.01;;7.01;7.01;8.41
72;12/03/2020;8.90;;8.90;8.90;10.68
73;13/03/2020;4.35;;4.35;4.35;0.00
74;14/03/2020;6.06;;6.06;6.06;7.28
75;15/03/2020;5.75;;5.75;5.75;6.91
76;16/03/2020;9.65;;9.65;9.65;11.58
77;17/03/2020;21.19;;21.19;21.19;25.43
78;18/03/2020;4.83;;4.83;4.83;0.00
79;19/03/2020;4.03;;4.03;4.03;0.00
80;20/03/2020;3.50;;3.50;3.50;0.00
81;21/03/2020;0.52;;0.52;0.52;0.00
82;22/03/2020;2.31;;2.31;2.31;0.00
83;23/03/2020;2.13;;2.13;2.13;0.00
84;24/03/2020;1.39;;1.39;1.39;0.00
85;25/03/2020;1.29;;1.29;1.29;0.00
86;26/03/2020;3.17;;3.17;3.17;0.00
87;27/03/2020;16.09;;16.09;16.09;19.31
88;28/03/2020;15.91;;15.91;15.91;19.09
89;29/03/2020;10.17;;10.17;10.17;12.20
90;30/03/2020;3.76;;3.76;3.76;0.00
91;31/03/2020;2.09;;2.09;2.09;0.00
92;01/04/2020;1.31;;1.31;1.31;0.00
93;02/04/2020;4.05;;4.05;4.05;0.00
94;03/04/2020;1.82;;1.82;1.82;0.00
95;04/04/2020;0.48;;0.00;0.00;0.00
96;05/04/2020;2.16;;2.16;2.16;0.00
97;06/04/2020;0.76;;0.76;0.76;0.00
98;07/04/2020;7.20;;7.20;7.20;8.64
99;08/04/2020;4.73;;4.73;4.73;0.00
100;09/04/2020;0.69;;0.69;0.69;0.00
101;10/04/2020;0.79;;0.79;0.79;0.00
102;11/04/2020;3.51;;3.51;3.51;0.00
103;12/04/2020;12.18;;12.18;12.18;14.62
104;13/04/2020;4.32;;4.32;4.32;0.00
105;14/04/2020;3.65;;3.65;3.65;0.00
106;15/04/2020;4.42;;4.42;4.42;0.00
107;16/04/2020;5.69;;5.69;5.69;6.83
108;17/04/2020;6.26;;6.26;6.26;7.51
109;18/04/2020;13.79;;13.79;13.79;16.55
110;19/04/2020;9.11;;9.11;9.11;10.93
111;20/04/2020;1.41;;1.41;1.41;0.00
112;21/04/2020;3.64;;3.64;3.64;0.00
113;22/04/2020;16.13;;16.13;16.13;19.36
114;23/04/2020;15.66;;15.66;15.66;18.79
115;24/04/2020;9.33;;9.33;9.33;11.20
116;25/04/2020;7.17;;7.17;7.17;8.61
117;26/04/2020;2.24;;2.24;2.24;0.00
118;27/04/2020;1.54;;1.54;1.54;0.00
119;28/04/2020;5.99;;5.99;5.99;7.19
120;29/04/2020;4.30;;4.30;4.30;0.00
121;30/04/2020;2.09;;2.09;2.09;0.00
122;01/05/2020;2.85;;2.85;2.85;0.00
123;02/05/2020;3.34;;3.34;3.34;0.00
124;03/05/2020;1.04;;1.04;1.04;0.00
125;04/05/2020;0.13;;0.00;0.00;0.00
126;05/05/2020;1.90;;1.90;1.90;0.00
127;06/05/2020;2.78;;2.78;2.78;0.00
128;07/05/2020;1.81;;1.81;1.81;0.00
129;08/05/2020;1.00;;1.00;1.00;0.00
130;09/05/2020;0.16;;0.00;0.00;0.00
131;10/05/2020;3.26;;3.26;3.26;0.00
132;11/05/2020;2.00;;2.00;2.00;0.00
133;12/05/2020;1.75;;1.75;1.75;0.00
134;13/05/2020;0.73;;0.73;0.73;0.00
135;14/05/2020;1.38;;1.38;1.38;0.00
136;15/05/2020;0.94;;0.94;0.94;0.00
137;16/05/2020;0.17;;0.00;0.00;0.00
138;17/05/2020;0.00;;0.00;0.00;0.00
139;18/05/2020;0.00;;0.00;0.00;0.00
140;19/05/2020;0.84;;0.84;0.84;0.00
141;20/05/2020;0.83;;0.83;0.83;0.00
142;21/05/2020;0.17;;0.00;0.00;0.00
143;22/05/2020;0.00;;0.00;0.00;0.00
144;23/05/2020;0.00;;0.00;0.00;0.00
145;24/05/2020;0.00;;0.00;0.00;0.00
146;25/05/2020;0.00;;0.00;0.00;0.00
147;26/05/2020;0.00;;0.00;0.00;0.00
148;27/05/2020;0.00;;0.00;0.00;0.00
149;28/05/2020;0.10;;0.00;0.00;0.00
150;29/05/2020;0.00;;0.00;0.00;0.00
151;30/05/2020;0.00;;0.00;0.00;0.00
152;31/05/2020;0.00;;0.00;0.00;0.00
153;01/06/2020;0.09;;0.00;0.00;0.00
154;02/06/2020;0.52;;0.52;0.52;0.00
155;03/06/2020;0.31;;0.00;0.00;0.00
156;04/06/2020;0.01;;0.00;0.00;0.00
157;05/06/2020;0.36;;0.00;0.00;0.00
158;06/06/2020;0.38;;0.00;0.00;0.00
159;07/06/2020;0.37;;0.00;0.00;0.00
160;08/06/2020;0.32;;0.00;0.00;0.00
161;09/06/2020;0.00;;0.00;0.00;0.00
162;10/06/2020;0.00;;0.00;0.00;0.00
163;11/06/2020;0.00;;0.00;0.00;0.00
164;12/06/2020;0.36;;0.00;0.00;0.00
165;13/06/2020;0.52;;0.52;0.52;0.00
166;14/06/2020;0.62;;0.62;0.62;0.00
167;15/06/2020;0.07;;0.00;0.00;0.00
168;16/06/2020;0.14;;0.00;0.00;0.00
169;17/06/2020;0.05;;0.00;0.00;0.00
170;18/06/2020;0.00;;0.00;0.00;0.00
171;19/06/2020;0.00;;0.00;0.00;0.00
172;20/06/2020;0.00;;0.00;0.00;0.00
173;21/06/2020;2.21;;2.21;2.21;0.00
174;22/06/2020;1.49;;1.49;1.49;0.00
175;23/06/2020;2.01;;2.01;2.01;0.00
176;24/06/2020;0.40;;0.00;0.00;0.00
177;25/06/2020;0.00;;0.00;0.00;0.00
178;26/06/2020;0.00;;0.00;0.00;0.00
179;27/06/2020;0.00;;0.00;0.00;0.00
180;28/06/2020;0.00;;0.00;0.00;0.00
181;29/06/2020;0.00;;0.00;0.00;0.00
182;30/06/2020;0.00;;0.00;0.00;0.00
183;01/07/2020;0.01;;0.00;0.00;0.00
184;02/07/2020;0.75;;0.75;0.75;0.00
185;03/07/2020;0.62;;0.62;0.62;0.00
186;04/07/2020;1.60;;1.60;1.60;0.00
187;05/07/2020;0.20;;0.00;0.00;0.00
188;06/07/2020;0.00;;0.00;0.00;0.00
189;07/07/2020;0.06;;0.00;0.00;0.00
190;08/07/2020;1.08;;1.08;1.08;0.00
191;09/07/2020;1.27;;1.27;1.27;0.00
192;10/07/2020;0.12;;0.00;0.00;0.00
193;11/07/2020;0.00;;0.00;0.00;0.00
194;12/07/2020;0.00;;0.00;0.00;0.00
195;13/07/2020;0.00;;0.00;0.00;0.00
196;14/07/2020;0.00;;0.00;0.00;0.00
197;15/07/2020;0.01;;0.00;0.00;0.00
198;16/07/2020;0.05;;0.00;0.00;0.00
199;17/07/2020;1.50;;1.50;1.50;0.00
200;18/07/2020;1.99;;1.99;1.99;0.00
201;19/07/2020;0.70;;0.70;0.70;0.00
202;20/07/2020;0.06;;0.00;0.00;0.00
203;21/07/2020;0.77;;0.77;0.77;0.00
204;22/07/2020;0.24;;0.00;0.00;0.00
205;23/07/2020;0.19;;0.00;0.00;0.00
206;24/07/2020;0.03;;0.00;0.00;0.00
207;25/07/2020;0.24;;0.00;0.00;0.00
208;26/07/2020;0.01;;0.00;0.00;0.00
209;27/07/2020;0.00;;0.00;0.00;0.00
210;28/07/2020;0.12;;0.00;0.00;0.00
211;29/07/2020;0.36;;0.00;0.00;0.00
212;30/07/2020;0.23;;0.00;0.00;0.00
213;31/07/2020;0.01;;0.00;0.00;0.00
214;01/08/2020;0.00;;0.00;0.00;0.00
215;02/08/2020;0.00;;0.00;0.00;0.00
216;03/08/2020;0.03;;0.00;0.00;0.00
217;04/08/2020;0.01;;0.00;0.00;0.00
218;05/08/2020;0.00;;0.00;0.00;0.00
219;06/08/2020;0.00;;0.00;0.00;0.00
220;07/08/2020;0.00;;0.00;0.00;0.00
221;08/08/2020;0.15;;0.00;0.00;0.00
222;09/08/2020;0.69;;0.69;0.69;0.00
223;10/08/2020;0.40;;0.00;0.00;0.00
224;11/08/2020;0.04;;0.00;0.00;0.00
225;12/08/2020;0.03;;0.00;0.00;0.00
226;13/08/2020;0.00;;0.00;0.00;0.00
227;14/08/2020;0.04;;0.00;0.00;0.00
228;15/08/2020;1.45;;1.45;1.45;0.00
229;16/08/2020;0.40;;0.00;0.00;0.00
230;17/08/2020;0.66;;0.66;0.66;0.00
231;18/08/2020;2.90;;2.90;2.90;0.00
232;19/08/2020;0.24;;0.00;0.00;0.00
233;20/08/2020;0.00;;0.00;0.00;0.00
234;21/08/2020;0.01;;0.00;0.00;0.00
235;22/08/2020;0.11;;0.00;0.00;0.00
236;23/08/2020;0.47;;0.00;0.00;0.00
237;24/08/2020;0.04;;0.00;0.00;0.00
238;25/08/2020;0.00;;0.00;0.00;0.00
239;26/08/2020;0.00;;0.00;0.00;0.00
240;27/08/2020;0.00;;0.00;0.00;0.00
241;28/08/2020;0.33;;0.00;0.00;0.00
242;29/08/2020;0.03;;0.00;0.00;0.00
243;30/08/2020;0.00;;0.00;0.00;0.00
244;31/08/2020;0.00;;0.00;0.00;0.00
245;01/09/2020;0.00;;0.00;0.00;0.00
246;02/09/2020;0.00;;0.00;0.00;0.00
247;03/09/2020;0.00;;0.00;0.00;0.00
248;04/09/2020;0.09;;0.00;0.00;0.00
249;05/09/2020;0.26;;0.00;0.00;0.00
250;06/09/2020;0.65;;0.65;0.65;0.00
251;07/09/2020;4.11;;4.11;4.11;0.00
252;08/09/2020;2.27;;2.27;2.27;0.00
253;09/09/2020;0.04;;0.00;0.00;0.00
254;10/09/2020;0.00;;0.00;0.00;0.00
255;11/09/2020;0.22;;0.00;0.00;0.00
256;12/09/2020;0.02;;0.00;0.00;0.00
257;13/09/2020;0.15;;0.00;0.00;0.00
258;14/09/2020;0.01;;0.00;0.00;0.00
259;15/09/2020;0.00;;0.00;0.00;0.00
260;16/09/2020;0.00;;0.00;0.00;0.00
261;17/09/2020;0.00;;0.00;0.00;0.00
262;18/09/2020;0.00;;0.00;0.00;0.00
263;19/09/2020;0.00;;0.00;0.00;0.00
264;20/09/2020;0.00;;0.00;0.00;0.00
265;21/09/2020;0.00;;0.00;0.00;0.00
266;22/09/2020;0.07;;0.00;0.00;0.00
267;23/09/2020;2.19;;2.19;2.19;0.00
268;24/09/2020;0.07;;0.00;0.00;0.00
269;25/09/2020;0.00;;0.00;0.00;0.00
270;26/09/2020;0.00;;0.00;0.00;0.00
271;27/09/2020;0.05;;0.00;0.00;0.00
272;28/09/2020;0.08;;0.00;0.00;0.00
273;29/09/2020;0.02;;0.00;0.00;0.00
274;30/09/2020;0.04;;0.00;0.00;0.00
275;01/10/2020;0.21;;0.00;0.00;0.00
276;02/10/2020;0.08;;0.00;0.00;0.00
277;03/10/2020;0.01;;0.00;0.00;0.00
278;04/10/2020;0.00;;0.00;0.00;0.00
279;05/10/2020;0.00;;0.00;0.00;0.00
280;06/10/2020;0.00;;0.00;0.00;0.00
281;07/10/2020;0.00;;0.00;0.00;0.00
282;08/10/2020;0.00;;0.00;0.00;0.00
283;09/10/2020;0.00;;0.00;0.00;0.00
284;10/10/2020;0.00;;0.00;0.00;0.00
285;11/10/2020;0.00;;0.00;0.00;0.00
286;12/10/2020;0.04;;0.00;0.00;0.00
287;13/10/2020;2.96;;2.96;2.96;0.00
288;14/10/2020;0.36;;0.00;0.00;0.00
289;15/10/2020;2.98;;2.98;2.98;0.00
290;16/10/2020;0.22;;0.00;0.00;0.00
291;17/10/2020;0.00;;0.00;0.00;0.00
292;18/10/2020;0.00;;0.00;0.00;0.00
293;19/10/2020;0.00;;0.00;0.00;0.00
294;20/10/2020;0.08;;0.00;0.00;0.00
295;21/10/2020;0.01;;0.00;0.00;0.00
296;22/10/2020;0.03;;0.00;0.00;0.00
297;23/10/2020;0.01;;0.00;0.00;0.00
298;24/10/2020;0.00;;0.00;0.00;0.00
299;25/10/2020;0.03;;0.00;0.00;0.00
300;26/10/2020;0.68;;0.68;0.68;0.00
301;27/10/2020;0.64;;0.64;0.64;0.00
302;28/10/2020;1.03;;1.03;1.03;0.00
303;29/10/2020;0.64;;0.64;0.64;0.00
304;30/10/2020;12.08;;12.08;12.08;14.50
305;31/10/2020;6.75;;6.75;6.75;8.10
306;01/11/2020;0.77;;0.77;0.77;0.00
307;02/11/2020;0.00;;0.00;0.00;0.00
308;03/11/2020;0.00;;0.00;0.00;0.00
309;04/11/2020;0.00;;0.00;0.00;0.00
310;05/11/2020;0.00;;0.00;0.00;0.00
311;06/11/2020;0.00;;0.00;0.00;0.00
312;07/11/2020;0.05;;0.00;0.00;0.00
313;08/11/2020;2.58;;2.58;2.58;0.00
314;09/11/2020;11.12;;11.12;11.12;13.34
315;10/11/2020;12.12;;12.12;12.12;14.55
316;11/11/2020;9.95;;9.95;9.95;11.94
317;12/11/2020;8.20;;8.20;8.20;9.84
318;13/11/2020;7.14;;7.14;7.14;8.57
319;14/11/2020;1.74;;1.74;1.74;0.00
320;15/11/2020;7.49;;7.49;7.49;8.99
321;16/11/2020;11.55;;11.55;11.55;13.86
322;17/11/2020;5.69;;5.69;5.69;6.82
323;18/11/2020;12.16;;12.16;12.16;14.59
324;19/11/2020;15.28;;15.28;15.28;18.34
325;20/11/2020;8.96;;8.96;8.96;10.75
326;21/11/2020;1.46;;1.46;1.46;0.00
327;22/11/2020;0.37;;0.00;0.00;0.00
328;23/11/2020;0.09;;0.00;0.00;0.00
329;24/11/2020;0.42;;0.00;0.00;0.00
330;25/11/2020;0.82;;0.82;0.82;0.00
331;26/11/2020;1.66;;1.66;1.66;0.00
332;27/11/2020;1.11;;1.11;1.11;0.00
333;28/11/2020;11.09;;11.09;11.09;13.31
334;29/11/2020;5.63;;5.63;5.63;6.76
335;30/11/2020;7.91;;7.91;7.91;9.49
336;01/12/2020;17.87;;17.87;17.87;21.45
337;02/12/2020;11.04;;11.04;11.04;13.25
338;03/12/2020;4.65;;4.65;4.65;0.00
339;04/12/2020;1.56;;1.56;1.56;0.00
340;05/12/2020;0.13;;0.00;0.00;0.00
341;06/12/2020;0.81;;0.81;0.81;0.00
342;07/12/2020;0.21;;0.00;0.00;0.00
343;08/12/2020;0.46;;0.00;0.00;0.00
344;09/12/2020;1.78;;1.78;1.78;0.00
345;10/12/2020;0.27;;0.00;0.00;0.00
346;11/12/2020;0.36;;0.00;0.00;0.00
347;12/12/2020;0.12;;0.00;0.00;0.00
348;13/12/2020;0.06;;0.00;0.00;0.00
349;14/12/2020;0.10;;0.00;0.00;0.00
350;15/12/2020;0.01;;0.00;0.00;0.00
351;16/12/2020;0.22;;0.00;0.00;0.00
352;17/12/2020;0.91;;0.91;0.91;0.00
353;18/12/2020;0.64;;0.64;0.64;0.00
354;19/12/2020;2.90;;2.90;2.90;0.00
355;20/12/2020;2.77;;2.77;2.77;0.00
356;21/12/2020;0.72;;0.72;0.72;0.00
357;22/12/2020;0.52;;0.52;0.52;0.00
358;23/12/2020;0.58;;0.58;0.58;0.00
359;24/12/2020;0.73;;0.73;0.73;0.00
360;25/12/2020;2.83;;2.83;2.83;0.00
361;26/12/2020;12.58;;12.58;12.58;15.10
362;27/12/2020;3.46;;3.46;3.46;0.00
363;28/12/2020;0.43;;0.00;0.00;0.00
364;29/12/2020;0.07;;0.00;0.00;0.00
365;30/12/2020;0.40;;0.00;0.00;0.00
366;31/12/2020;0.71;;0.71;0.71;0.00
;;1021.61;;1004.389248;;922.9153418
