,Date,Precipitation (mm/day)
1,01/01/2020,0.118833061
2,02/01/2020,0
3,03/01/2020,0.000646071
4,04/01/2020,0.038123036
5,05/01/2020,0.647271966
6,06/01/2020,1.592855352
7,07/01/2020,3.747484284
8,08/01/2020,2.347688563
9,09/01/2020,1.146689996
10,10/01/2020,6.640920034
11,11/01/2020,6.147861439
12,12/01/2020,5.869592674
13,13/01/2020,6.046997137
14,14/01/2020,3.149091944
15,15/01/2020,4.739276246
16,16/01/2020,8.454919784
17,17/01/2020,4.838636267
18,18/01/2020,8.610497666
19,19/01/2020,11.39087087
20,20/01/2020,1.450676247
21,21/01/2020,14.88914534
22,22/01/2020,14.88943441
23,23/01/2020,7.897268544
24,24/01/2020,5.605137346
25,25/01/2020,17.41922355
26,26/01/2020,13.301632
27,27/01/2020,7.028210903
28,28/01/2020,2.668757143
29,29/01/2020,2.715968577
30,30/01/2020,0.712308215
31,31/01/2020,15.39759859
32,01/02/2020,11.86399286
33,02/02/2020,6.941511973
34,03/02/2020,3.266035708
35,04/02/2020,0.482919106
36,05/02/2020,0.642334819
37,06/02/2020,0.761650704
38,07/02/2020,0.106833213
39,08/02/2020,0
40,09/02/2020,0
41,10/02/2020,0.104894998
42,11/02/2020,0.159893033
43,12/02/2020,3.959361962
44,13/02/2020,5.345021246
45,14/02/2020,2.772282851
46,15/02/2020,0.841353754
47,16/02/2020,0.089837677
48,17/02/2020,0.068531785
49,18/02/2020,0.202326426
50,19/02/2020,0.072369642
51,20/02/2020,0.239422499
52,21/02/2020,0.130872858
53,22/02/2020,0.170490536
54,23/02/2020,0.41180303
55,24/02/2020,0.486038566
56,25/02/2020,23.82464081
57,26/02/2020,21.01199769
58,27/02/2020,11.03314983
59,28/02/2020,8.221731418
60,29/02/2020,8.857933361
61,01/03/2020,23.79694665
62,02/03/2020,21.46533266
63,03/03/2020,12.3925034
64,04/03/2020,20.23375659
65,05/03/2020,4.204763039
66,06/03/2020,12.98113713
67,07/03/2020,5.311584635
68,08/03/2020,4.648098202
69,09/03/2020,12.26172695
70,10/03/2020,10.07915788
71,11/03/2020,7.01078144
72,12/03/2020,8.8971075
73,13/03/2020,4.353711428
74,14/03/2020,6.063852857
75,15/03/2020,5.754442486
76,16/03/2020,9.650884798
77,17/03/2020,21.19484571
78,18/03/2020,4.82767716
79,19/03/2020,4.031755718
80,20/03/2020,3.499315719
81,21/03/2020,0.516201428
82,22/03/2020,2.305067134
83,23/03/2020,2.126544102
84,24/03/2020,1.386310178
85,25/03/2020,1.291111074
86,26/03/2020,3.174226075
87,27/03/2020,16.09461323
88,28/03/2020,15.9108589
89,29/03/2020,10.16897141
90,30/03/2020,3.757768402
91,31/03/2020,2.090648565
92,01/04/2020,1.3128075
93,02/04/2020,4.049811958
94,03/04/2020,1.821256071
95,04/04/2020,0.483700176
96,05/04/2020,2.160207314
97,06/04/2020,0.760773204
98,07/04/2020,7.201030183
99,08/04/2020,4.729556256
100,09/04/2020,0.688803748
101,10/04/2020,0.79326964
102,11/04/2020,3.509990368
103,12/04/2020,12.17983502
104,13/04/2020,4.317425371
105,14/04/2020,3.645385724
106,15/04/2020,4.422865188
107,16/04/2020,5.690867129
108,17/04/2020,6.259839092
109,18/04/2020,13.79197124
110,19/04/2020,9.106092313
111,20/04/2020,1.405547678
112,21/04/2020,3.642618213
113,22/04/2020,16.1322927
114,23/04/2020,15.65800391
115,24/04/2020,9.333552877
116,25/04/2020,7.17303694
117,26/04/2020,2.242889995
118,27/04/2020,1.536589287
119,28/04/2020,5.99059125
120,29/04/2020,4.301721953
121,30/04/2020,2.090942668
122,01/05/2020,2.851050524
123,02/05/2020,3.343154451
124,03/05/2020,1.040975353
125,04/05/2020,0.129783212
126,05/05/2020,1.900288931
127,06/05/2020,2.781308554
128,07/05/2020,1.806208391
129,08/05/2020,1.001878393
130,09/05/2020,0.155736965
131,10/05/2020,3.260486271
132,11/05/2020,2.001837856
133,12/05/2020,1.751403217
134,13/05/2020,0.730677847
135,14/05/2020,1.377472495
136,15/05/2020,0.942005884
137,16/05/2020,0.170413392
138,17/05/2020,0.001933393
139,18/05/2020,0
140,19/05/2020,0.842154106
141,20/05/2020,0.828374455
142,21/05/2020,0.16909232
143,22/05/2020,0
144,23/05/2020,0
145,24/05/2020,0
146,25/05/2020,0
147,26/05/2020,0
148,27/05/2020,0
149,28/05/2020,0.099846965
150,29/05/2020,0.002511964
151,30/05/2020,0
152,31/05/2020,0
153,01/06/2020,0.087740358
154,02/06/2020,0.520236966
155,03/06/2020,0.307568574
156,04/06/2020,0.011663036
157,05/06/2020,0.364731421
158,06/06/2020,0.379634466
159,07/06/2020,0.370806428
160,08/06/2020,0.317143928
161,09/06/2020,0.004440536
162,10/06/2020,0.000448393
163,11/06/2020,0
164,12/06/2020,0.361028572
165,13/06/2020,0.515849464
166,14/06/2020,0.620098393
167,15/06/2020,0.068020715
168,16/06/2020,0.135694282
169,17/06/2020,0.05370107
170,18/06/2020,0.0046575
171,19/06/2020,0
172,20/06/2020,0.003375
173,21/06/2020,2.208691616
174,22/06/2020,1.486316252
175,23/06/2020,2.012150892
176,24/06/2020,0.404508214
177,25/06/2020,0.000120536
178,26/06/2020,0
179,27/06/2020,0
180,28/06/2020,0
181,29/06/2020,0
182,30/06/2020,0
183,01/07/2020,0.005274643
184,02/07/2020,0.751414816
185,03/07/2020,0.621646072
186,04/07/2020,1.59929679
187,05/07/2020,0.200267679
188,06/07/2020,0.003495536
189,07/07/2020,0.055484999
190,08/07/2020,1.08315321
191,09/07/2020,1.271709645
192,10/07/2020,0.124175893
193,11/07/2020,0.000294107
194,12/07/2020,0.00030375
195,13/07/2020,0
196,14/07/2020,0
197,15/07/2020,0.010645714
198,16/07/2020,0.04833482
199,17/07/2020,1.503094825
200,18/07/2020,1.986876975
201,19/07/2020,0.695471779
202,20/07/2020,0.056487856
203,21/07/2020,0.77401767
204,22/07/2020,0.237648213
205,23/07/2020,0.186994287
206,24/07/2020,0.028885179
207,25/07/2020,0.237821783
208,26/07/2020,0.006595714
209,27/07/2020,0
210,28/07/2020,0.115608215
211,29/07/2020,0.35529107
212,30/07/2020,0.227894463
213,31/07/2020,0.006991071
214,01/08/2020,0.003254464
215,02/08/2020,0
216,03/08/2020,0.028682678
217,04/08/2020,0.012820178
218,05/08/2020,0.002410714
219,06/08/2020,0.001523571
220,07/08/2020,0.001253571
221,08/08/2020,0.153196071
222,09/08/2020,0.686629278
223,10/08/2020,0.396229826
224,11/08/2020,0.043306072
225,12/08/2020,0.027192857
226,13/08/2020,0
227,14/08/2020,0.039752678
228,15/08/2020,1.447118043
229,16/08/2020,0.396793927
230,17/08/2020,0.662816244
231,18/08/2020,2.895836781
232,19/08/2020,0.238299106
233,20/08/2020,0.000790714
234,21/08/2020,0.007034464
235,22/08/2020,0.108597858
236,23/08/2020,0.474365894
237,24/08/2020,0.038663036
238,25/08/2020,0
239,26/08/2020,0
240,27/08/2020,0
241,28/08/2020,0.333324639
242,29/08/2020,0.030495535
243,30/08/2020,0
244,31/08/2020,0.000429107
245,01/09/2020,0.001340357
246,02/09/2020,0
247,03/09/2020,0
248,04/09/2020,0.090662141
249,05/09/2020,0.258409284
250,06/09/2020,0.649475358
251,07/09/2020,4.111063367
252,08/09/2020,2.271722152
253,09/09/2020,0.04073625
254,10/09/2020,0.000120536
255,11/09/2020,0.223111606
256,12/09/2020,0.016580893
257,13/09/2020,0.148389104
258,14/09/2020,0.014464285
259,15/09/2020,0.000443571
260,16/09/2020,0
261,17/09/2020,0
262,18/09/2020,0
263,19/09/2020,0
264,20/09/2020,0.000120536
265,21/09/2020,0
266,22/09/2020,0.070363929
267,23/09/2020,2.187564104
268,24/09/2020,0.066651429
269,25/09/2020,0
270,26/09/2020,0.003765536
271,27/09/2020,0.054621964
272,28/09/2020,0.080378034
273,29/09/2020,0.020365714
274,30/09/2020,0.040109464
275,01/10/2020,0.208483392
276,02/10/2020,0.075595178
277,03/10/2020,0.01245375
278,04/10/2020,0
279,05/10/2020,0
280,06/10/2020,0.001205357
281,07/10/2020,0
282,08/10/2020,0
283,09/10/2020,0
284,10/10/2020,0.000930536
285,11/10/2020,0.004411607
286,12/10/2020,0.037038214
287,13/10/2020,2.955000533
288,14/10/2020,0.364982142
289,15/10/2020,2.982149995
290,16/10/2020,0.224895535
291,17/10/2020,0.002203393
292,18/10/2020,0.0016875
293,19/10/2020,0
294,20/10/2020,0.082856248
295,21/10/2020,0.00894375
296,22/10/2020,0.031103035
297,23/10/2020,0.008037321
298,24/10/2020,0.002188929
299,25/10/2020,0.02514375
300,26/10/2020,0.677680709
301,27/10/2020,0.640772678
302,28/10/2020,1.030561074
303,29/10/2020,0.642151605
304,30/10/2020,12.08363788
305,31/10/2020,6.752507142
306,01/11/2020,0.773468035
307,02/11/2020,0.002005714
308,03/11/2020,0
309,04/11/2020,0
310,05/11/2020,0
311,06/11/2020,0
312,07/11/2020,0.049761964
313,08/11/2020,2.5809975
314,09/11/2020,11.11768879
315,10/11/2020,12.12380032
316,11/11/2020,9.9469591
317,12/11/2020,8.197831604
318,13/11/2020,7.140092126
319,14/11/2020,1.735154997
320,15/11/2020,7.494809445
321,16/11/2020,11.55015636
322,17/11/2020,5.6852984
323,18/11/2020,12.15694771
324,19/11/2020,15.28316196
325,20/11/2020,8.955012813
326,21/11/2020,1.46281659
327,22/11/2020,0.374253751
328,23/11/2020,0.08954357
329,24/11/2020,0.416368929
330,25/11/2020,0.819961072
331,26/11/2020,1.656011253
332,27/11/2020,1.112303569
333,28/11/2020,11.09077554
334,29/11/2020,5.629789263
335,30/11/2020,7.911713551
336,01/12/2020,17.87419289
337,02/12/2020,11.04280236
338,03/12/2020,4.651844453
339,04/12/2020,1.557567316
340,05/12/2020,0.134508213
341,06/12/2020,0.805453377
342,07/12/2020,0.214842853
343,08/12/2020,0.458850532
344,09/12/2020,1.77783909
345,10/12/2020,0.268948924
346,11/12/2020,0.364890529
347,12/12/2020,0.12174589
348,13/12/2020,0.057456963
349,14/12/2020,0.095743928
350,15/12/2020,0.013895357
351,16/12/2020,0.219915003
352,17/12/2020,0.905068913
353,18/12/2020,0.637928026
354,19/12/2020,2.898368
355,20/12/2020,2.769679276
356,21/12/2020,0.719988747
357,22/12/2020,0.520198388
358,23/12/2020,0.580755534
359,24/12/2020,0.7288216
360,25/12/2020,2.833394467
361,26/12/2020,12.58403458
362,27/12/2020,3.461838715
363,28/12/2020,0.42751607
364,29/12/2020,0.066555001
365,30/12/2020,0.398192136
366,31/12/2020,0.708441422
